No.,Name,Type,Address
436,여의도브라이튼,일반,"서울특별시 영등포구 국제금융로 39 (여의도동, 브라이튼 여의도), 1층"
437,여의도TP타워,일반,"서울특별시 영등포구 의사당대로 96 (여의도동)"
438,당산역사거리,일반,"서울특별시 영등포구 양평로 47 (당산동5가)"
439,신풍역,일반,"서울특별시 영등포구 신풍로 23 (신길동)"
440,불광역,일반,"서울특별시 은평구 통일로 715 (대조동)"
441,구파발사거리,일반,"서울특별시 은평구 진관3로 21 은평엘크루 101동 105-108호"
442,연신내역사거리,일반,"서울특별시 은평구 통일로 842 (불광동)"
443,연신내,일반,"서울특별시 은평구 통일로 867 (갈현동)"
444,구파발역,일반,"서울특별시 은평구 진관2로 12"
445,은평구청입구,일반,"서울특별시 은평구 은평로 170 (응암동)"
446,은평이마트,일반,"서울특별시 은평구 은평로 111 (응암동)"
447,구산역,일반,"서울특별시 은평구 연서로 146 (대조동)"
448,불광역8번출구,일반,"서울특별시 은평구 통일로 746 (불광동)"
449,응암역2번출구,일반,"서울특별시 은평구 연서로 17 (역촌동)"
450,수색,일반,"서울특별시 은평구 수색로 216 (수색동)"
451,새절역,일반,"서울특별시 은평구 증산로 371 (신사동)"
452,더북한산,일반,"서울특별시 은평구 대서문길 24-11 (진관동)"
453,녹번역,일반,"서울특별시 은평구 통일로 636 (녹번동) 110,111,112,113,114,115호"
454,진관DT,DT,"서울특별시 은평구 연서로 645 (진관동)"
455,연신내역5번출구,일반,"서울특별시 은평구 연서로 222 (대조동), 1층"
456,연합뉴스,일반,"서울특별시 종로구 율곡로2길 25 (수송동)"
457,혜화역,일반,"서울특별시 종로구 대학로12길 4 (동숭동)1~2층"
458,경희궁로,일반,"서울특별시 종로구 새문안로3길 15 (당주동)"
459,강북삼성병원,일반,"서울특별시 종로구 새문안로 29 (평동) C관 5층"
460,종로평창동,일반,"서울특별시 종로구 평창12길 3 (평창동)"
461,광화문우체국,일반,"서울특별시 종로구 종로 6 (서린동)"
462,종로R,R,"서울특별시 종로구 종로 51 (종로2가)"
463,독립문역,일반,"서울특별시 종로구 송월길 155 경희궁자이 4단지 1층 팰리스애비뉴 4114~4119호"
464,정부서울청사R,R,"서울특별시 종로구 새문안로5가길 28 (적선동)"
465,종로구청,일반,"서울특별시 종로구 삼봉로 71 (수송동)"
466,북촌로,일반,"서울특별시 종로구 북촌로4길 23 (계동)"
467,종로수송,일반,"서울특별시 종로구 종로5길 30 (청진동) 1~3층"
468,새문안로,일반,"서울특별시 종로구 새문안로 92 (신문로1가) 광화문오피시아빌딩"
469,안국,일반,"서울특별시 종로구 북촌로 5-1 (재동)"
470,삼청동,일반,"서울특별시 종로구 삼청로 111-1 (삼청동)"
471,광화문D타워,일반,"서울특별시 종로구 종로3길 17 (청진동) D타워"
472,적선,일반,"서울특별시 종로구 새문안로5길 55, 노스게이트빌딩 1층 (적선동)"
473,인사,일반,"서울특별시 종로구 인사동길 14 (인사동)"
474,광화문,일반,"서울특별시 종로구 세종대로 167 (세종로)"
475,성대입구,일반,"서울특별시 종로구 창경궁로 235 (명륜3가)"
476,스페이스본,일반,"서울특별시 종로구 사직로8길 4 (사직동) 광화문 풍림스페이스본"
477,주얼리시티,일반,"서울특별시 종로구 종로 183 (인의동) 효성주얼리시티"
478,종각,일반,"서울특별시 종로구 종로 64 (종로2가)"
479,동숭로아트,일반,"서울특별시 종로구 동숭길 110 (동숭동)"
480,종로관철,일반,"서울특별시 종로구 종로12길 21, 2층 (관철동)"
481,경복궁역,일반,"서울특별시 종로구 자하문로4길 6, 1층 (통의동)"
482,이마빌딩,일반,"서울특별시 종로구 종로1길 42 (수송동)"
483,마로니에공원,일반,"서울특별시 종로구 대학로 116, 1-2층 (동숭동)"
484,종로3가,일반,"서울특별시 종로구 종로 113-1, 1-4층 (종로3가)"
485,대학로,일반,"서울특별시 종로구 대학로 57, 홍익대학교 대학로캠퍼스 內 (연건동)"
486,경복궁사거리,일반,"서울특별시 종로구 율곡로 6, B동 101호(중학동, 트윈트리타워)"
487,종로관수,일반,"서울특별시 종로구 삼일대로20길 13 (관수동)"
488,광화문교보문고,일반,"서울특별시 종로구 종로 1 (종로1가)"
489,광장마켓,일반,"서울특별시 종로구 창경궁로 88 (예지동)"
490,정동,일반,"서울특별시 종로구 새문안로 42 (신문로2가)"
491,종로플레이스,일반,"서울특별시 종로구 창경궁로 120 (인의동)"
492,강북삼성병원1층,일반,"서울특별시 종로구 새문안로 29 (평동) A관 1층"
493,동숭길입구,일반,"서울특별시 종로구 대학로 146 (혜화동)"
494,서울대치과병원,일반,"서울특별시 종로구 대학로 101 서울대학교 치과병원 신관1층"
495,서대문적십자,일반,"서울특별시 종로구 새문안로 9 (평동) 서울적십자병원 별관 상가동 1층 B호"
496,서대문역,일반,"서울특별시 종로구 통일로 134 (평동)"
497,숭례문북창,일반,"서울특별시 중구 세종대로12길 12 (남대문로4가)"
498,을지로4가역,일반,"서울특별시 중구 을지로 170 (을지로4가)"
499,동대문두타,일반,"서울특별시 중구 장충단로 275 (을지로6가)"
500,대한상공회의소R,R,"서울특별시 중구 세종대로 39 (남대문로4가) 1층"
501,국립중앙의료원,일반,"서울특별시 중구 을지로 251 (을지로6가)"
502,동국대,일반,"서울특별시 중구 서애로 1길 11"
503,동대문공원,일반,"서울특별시 중구 장충단로 229 (광희동1가)"
504,을지로국제빌딩,일반,"서울특별시 중구 남대문로 109 (다동)"
505,동대입구역,일반,"서울특별시 중구 장충단로 166 (장충동1가)"
506,신당역사거리,일반,"서울특별시 중구 다산로 258 (흥인동)"
507,연세세브란스,일반,"서울특별시 중구 통일로 10 (남대문로5가)"
508,회현역,일반,"서울특별시 중구 퇴계로 72 (회현동) 리더스뷰남산"
509,을지로경기빌딩,일반,"서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩"
510,을지로2가,일반,"서울특별시 중구 삼일대로 358 (을지로2가)"
511,신세계본점6F,일반,"서울특별시 중구 퇴계로 77 (충무로1가)"
512,서울중앙우체국,일반,"서울특별시 중구 소공로 70 (충무로 1가) 서울 중앙 우체국"
513,한국프레스센터,일반,"서울특별시 중구 세종대로 124 (태평로1가)"
514,명동중앙로,일반,"서울특별시 중구 명동길 60 (명동 2가)"
515,약수역,일반,"서울특별시 중구 다산로 129 (신당동)"
516,중구저동,일반,"서울특별시 중구 수표로 34 (저동2가)"
517,명동길,일반,"서울특별시 중구 명동10길 41"
518,서소문로,일반,"서울특별시 중구 서소문로 120 (서소문동) 대한빌딩"
519,신당역,일반,"서울특별시 중구 퇴계로 385, 1층 (흥인동)"
520,명동메트로,일반,"서울특별시 중구 명동9가길 14 (을지로1가) 메트로호텔"
521,숭례문,일반,"서울특별시 중구 세종대로 17, 그레이츠 숭례 1층 (남대문로5가)"
522,순화동더샵,일반,"서울특별시 중구 칠패로 27, 1층 (순화동)"
523,환구단,일반,"서울특별시 중구 소공로 112 (소공동)"
524,무교동,일반,"서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층"
525,문화일보,일반,"서울특별시 중구 새문안로 22 (충정로1가) 문화일보"
526,태평로,일반,"서울특별시 중구 세종대로 72, 대영빌딩 1층 (태평로2가)"
527,퍼시픽타워,일반,"서울특별시 중구 세종대로9길 41, 퍼시픽타워 1층 (서소문동)"
528,남산단암,일반,"서울특별시 중구 소월로 10, 단암빌딩 (남대문로5가)"
